NEW RUN
50000 500000 100
54900 3611.84 -1876.14 0.300934
55000 3602.68 -1899.19 0.300184
55100 3597.7 -1928.68 0.299765
55200 3592.6 -1919.24 0.299326
55300 3597.34 -1886.91 0.299736
55400 3605.78 -1899.07 0.300433
55500 3591.78 -1898.56 0.299272
55600 3608.33 -1905.61 0.300649
55700 3603.99 -1925.35 0.300283
55800 3597.51 -1939.88 0.299748
55900 3600.99 -1926.74 0.300038
56000 3600.32 -1898.83 0.299977
56100 3604.09 -1888.85 0.300302
56200 3594.69 -1901.16 0.299506
56300 3604.67 -1928.24 0.300347
56400 3596.04 -1921.87 0.299639
56500 3586.09 -1890.16 0.298792
56600 3598.55 -1888.68 0.299832
56700 3599.18 -1906.35 0.29988
56800 3599.54 -1937.21 0.299918
56900 3608.3 -1954.44 0.300645
57000 3597.51 -1950.25 0.299749
57100 3589.13 -1947.24 0.299039
57200 3586.06 -1900.83 0.2988
57300 3606.66 -1891.87 0.300509
57400 3603.54 -1918.29 0.300248
57500 3603.84 -1940.52 0.30027
57600 3608.08 -1955.05 0.300639
57700 3597.18 -1943.26 0.29971
57800 3607.11 -1926.49 0.300539
57900 3603.38 -1949.96 0.30024
58000 3596.39 -1959.53 0.299661
58100 3601.66 -1967.14 0.300088
58200 3600.51 -1953.49 0.300003
58300 3591.98 -1954.5 0.299288
58400 3594.06 -1945.73 0.299456
58500 3596.91 -1976.15 0.299687
58600 3591.89 -1978.45 0.299276
58700 3599.09 -1967.28 0.299875
58800 3582.13 -1938.62 0.29846
58900 3596.93 -1905.92 0.299692
59000 3604.88 -1912.61 0.300352
59100 3582.47 -1892.47 0.298504
59200 3616.21 -1926.71 0.301299
59300 3604.75 -1941 0.300353
59400 3596.97 -1927.1 0.299707
59500 3595.17 -1889.71 0.299553
59600 3598.87 -1885.51 0.299865
59700 3601.15 -1906.84 0.300044
59800 3593.22 -1909.3 0.299398
59900 3606.41 -1922.9 0.300478
60000 3594.81 -1923.14 0.299524
60100 3605.29 -1919.75 0.300393
60200 3601.52 -1923.85 0.300086
60300 3588.14 -1912.35 0.298964
60400 3592.42 -1890.09 0.299319
60500 3596.29 -1892.24 0.299653
60600 3590.84 -1900.47 0.299197
60700 3600.84 -1900.69 0.300015
60800 3603.23 -1895.95 0.300224
60900 3598.43 -1892.84 0.299821
61000 3605.06 -1911.79 0.300375
61100 3601.4 -1907.47 0.300063
61200 3597.67 -1898.58 0.299756
61300 3598.65 -1906.66 0.299837
61400 3584.19 -1886.16 0.298642
61500 3602.6 -1910.44 0.300164
61600 3598.55 -1904.99 0.299836
61700 3596.72 -1877.56 0.29967
61800 3604.42 -1903.74 0.300319
61900 3595.81 -1917.37 0.299603
62000 3598.91 -1893.98 0.299861
