NEW RUN
50000 500000 100
30700 3596.98 -1902.89 0.2997
30800 3591.48 -1896.75 0.299256
30900 3603.32 -1909.18 0.300226
31000 3628.58 -1934.09 0.302332
31100 3635.94 -1941.99 0.302943
31200 3641.39 -1946.71 0.303405
31300 3610.29 -1915.51 0.300811
31400 3594.28 -1900.08 0.299469
31500 3595.28 -1900.79 0.299558
31600 3583.36 -1888.58 0.298564
31700 3592.69 -1898.32 0.299338
31800 3596.6 -1902.29 0.299666
31900 3591.08 -1896.55 0.299208
32000 3592.9 -1898.48 0.299372
32100 3604.1 -1909.72 0.300295
32200 3604.91 -1911.21 0.300366
32300 3614.74 -1919.73 0.301182
32400 3608.71 -1914.21 0.300681
32500 3598.34 -1904.25 0.29982
32600 3587.73 -1892.84 0.298935
32700 3577.42 -1882.9 0.29807
32800 3589.63 -1895.56 0.29909
32900 3599.6 -1905.18 0.299921
33000 3612.23 -1917.66 0.300971
33100 3602.89 -1908.44 0.300194
33200 3608.96 -1913.97 0.300708
33300 3649.88 -1955.45 0.304112
33400 3655.57 -1960.87 0.304585
33500 3616.07 -1920.8 0.30129
33600 3592.93 -1898.3 0.299358
33700 3616.41 -1921.54 0.301321
33800 3625.62 -1931.13 0.302088
33900 3611.57 -1916.51 0.300906
34000 3609.26 -1914.76 0.300724
34100 3628.43 -1933.66 0.302329
34200 3605.16 -1910.29 0.300387
34300 3590.99 -1895.75 0.299198
34400 3584 -1889.14 0.298621
34500 3564.31 -1869.74 0.296978
34600 3559.8 -1865.1 0.29661
34700 3598.77 -1904.36 0.299844
34800 3590.34 -1895.78 0.299142
34900 3598.69 -1903.63 0.299835
35000 3593.02 -1898.43 0.299371
35100 3585.3 -1890.38 0.298727
35200 3582.68 -1887.56 0.29851
35300 3576.78 -1882.72 0.298017
35400 3588.64 -1893.56 0.29901
35500 3586.22 -1891.64 0.298802
35600 3611.63 -1917.34 0.300919
35700 3625.09 -1930.17 0.302052
35800 3632.41 -1937.69 0.302657
35900 3617.01 -1922.14 0.301373
36000 3615.16 -1920.49 0.301222
36100 3573.39 -1899.9 0.297741
